Added,Playtime,Platform,Genres,Stores,Tag,Esrb_rating
3980,9,4,RPG,4,Steam Achievements,Teen
3959,5,2,Adventure,6,RPG,Teen
3958,4,7,Indie,6,Steam Achievements,Teen
3953,3,1,Action,1,Atmospheric,Teen
3949,11,3,Platformer,3,Steam Achievements,Teen
3927,11,3,Action,3,Steam Achievements,Teen
3915,6,3,Action,3,Multiplayer,Teen
3914,5,4,Adventure,3,Steam Achievements,Teen
3912,3,1,Action,1,Steam Achievements,Teen
3908,2,4,Simulation,6,Steam Achievements,Teen
3898,5,3,Adventure,3,Steam Achievements,Teen
3886,2,5,Indie,4,Steam Achievements,Teen
3886,2,3,Action,2,Multiplayer,Teen
3884,7,3,Adventure,5,Full controller support,Teen
3884,6,2,Adventure,2,Multiplayer,Teen
3884,5,3,Adventure,3,Stealth,Teen
3883,5,8,Casual,8,steam-trading-cards,Adults Only
3870,5,8,Action,7,Steam Achievements,Adults Only
3869,2,2,RPG,2,Atmospheric,Adults Only
3868,4,4,Adventure,4,Horror,Adults Only
3867,3,3,Adventure,4,Steam Achievements,Adults Only
3863,4,8,Adventure,8,Steam Achievements,Adults Only
3860,10,3,Action,4,Steam Achievements,Adults Only
3847,6,6,Indie,6,Steam Achievements,Adults Only
3847,2,5,Adventure,3,Steam Achievements,Adults Only
3837,2,1,Arcade,1,Multiplayer,Adults Only
3833,2,3,Shooter,2,Multiplayer,Adults Only
3830,2,7,Shooter,5,Classic,Adults Only
3827,3,4,Strategy,2,Steam Achievements,Adults Only
3818,3,4,Adventure,5,Steam Achievements,Adults Only
3817,3,6,Adventure,5,Steam Achievements,Adults Only
3816,4,3,Action,4,Multiplayer,Adults Only
3814,3,1,Shooter,2,Multiplayer,Adults Only
3806,6,6,Adventure,7,Atmospheric,Adults Only
3805,5,5,Platformer,6,Steam Achievements,Adults Only
3800,2,5,Adventure,4,Steam Achievements,Adults Only
3789,2,3,Shooter,4,Multiplayer,Teen
3782,13,4,Action,3,Multiplayer,Teen
3780,3,3,Platformer,4,Steam Achievements,Teen
3763,5,5,Adventure,5,Steam Achievements,Teen
3762,3,3,Adventure,2,Horror,Teen
3759,2,1,Action,1,Multiplayer,Teen
3756,0,1,RPG,1,Atmospheric,Teen
3752,2,3,Shooter,3,Steam Achievements,Teen
3745,4,3,Action,1,Atmospheric,Teen
3737,4,4,Action,4,Steam Achievements,Teen
3736,5,8,RPG,6,Steam Achievements,Teen
3735,5,2,Action,2,Steam Achievements,Teen
3726,2,3,Action,3,Multiplayer,Teen
3719,1,4,Action,2,Multiplayer,Teen
3716,16,4,Adventure,3,Multiplayer,Teen
3706,6,2,Action,1,Multiplayer,Teen
3705,105,1,Action,1,Atmospheric,Teen
